clean_text,skor_sentimen,bobot_kata,label_sentimen
ro i jilat cari uang,-6.0,"[('ro', 0), ('i', 0), ('jilat', -3.0), ('cari', -3.0), ('uang', 0)]",negatif
mantan menteri mantan masuk penjaramenteri menteri becus,-13.0,"[('mantan', -3.0), ('menteri', 0), ('mantan', -3.0), ('masuk', -3.0), ('penjaramenteri', 0), ('menteri', 0), ('becus', -4.0)]",negatif
polisi simpel periksa dvr cctv olivier cctv flashdisc,-2.0,"[('polisi', 0), ('simpel', 3.0), ('periksa', -5.0), ('dvr', 0), ('cctv', 0), ('olivier', 0), ('cctv', 0), ('flashdisc', 0)]",negatif
roy suruh sih lantur bicara sok asyik roy,-2.0,"[('roy', 0), ('suruh', -2.0), ('sih', 0), ('lantur', 0), ('bicara', 0), ('sok', 0), ('asyik', 0), ('roy', 0)]",negatif
sok roy,0.0,"[('sok', 0), ('roy', 0)]",netral
izin autopsi hukum,-7.0,"[('izin', -4.0), ('autopsi', 0), ('hukum', -3.0)]",negatif
yosep subang orang salah kambing hitam penting pribadi,-16.0,"[('yosep', 0), ('subang', -1.0), ('orang', 0), ('salah', -4.0), ('kambing', -3.0), ('hitam', -4.0), ('penting', -4.0), ('pribadi', 0)]",negatif
roi surya pakai baju oranye periksa jessica masuk penjara roi kayak,-13.0,"[('roi', 0), ('surya', 0), ('pakai', 0), ('baju', 2.0), ('oranye', 0), ('periksa', -5.0), ('jessica', 0), ('masuk', -3.0), ('penjara', -4.0), ('roi', 0), ('kayak', -3.0)]",negatif
ungkap benar rekayasa rekayasa campur tangan oknum jenderal mafia hukum suami orang tua patut penuh janggal ingat hukum alam hukum karma tuhan maha esa moga jessica gerah bebas amin,-33.0,"[('ungkap', -3.0), ('benar', -4.0), ('rekayasa', 0), ('rekayasa', 0), ('campur', 5.0), ('tangan', 1.0), ('oknum', 0), ('jenderal', 0), ('mafia', -5.0), ('hukum', -3.0), ('suami', 0), ('orang', 0), ('tua', -4.0), ('patut', -5.0), ('penuh', 0), ('janggal', -4.0), ('ingat', -3.0), ('hukum', -3.0), ('alam', -1.0), ('hukum', -3.0), ('karma', 0), ('tuhan', 3.0), ('maha', 4.0), ('esa', 3.0), ('moga', 1.0), ('jessica', 0), ('gerah', -5.0), ('bebas', -4.0), ('amin', -3.0)]",negatif
sih edi kompolnas bicara putar putar sih edi erti jalan modal,-5.0,"[('sih', 0), ('edi', 0), ('kompolnas', 0), ('bicara', 0), ('putar', 0), ('putar', 0), ('sih', 0), ('edi', 0), ('erti', -2.0), ('jalan', 0), ('modal', -3.0)]",negatif
jessica bunuh diviralkan akan penting tarik keuntunga jessica australia jahat acu hubung perkara hukum jessica mohon maaf salah dapat jessica bunuh,-41.0,"[('jessica', 0), ('bunuh', -5.0), ('diviralkan', 0), ('akan', 0), ('penting', -4.0), ('tarik', 2.0), ('keuntunga', 0), ('jessica', 0), ('australia', 0), ('jahat', -4.0), ('acu', -4.0), ('hubung', -3.0), ('perkara', -4.0), ('hukum', -3.0), ('jessica', 0), ('mohon', -2.0), ('maaf', -3.0), ('salah', -4.0), ('dapat', -2.0), ('jessica', 0), ('bunuh', -5.0)]",negatif
ayo angkat bebas benar jessica benah kualitas hukum indonesia,0.0,"[('ayo', 4.0), ('angkat', 3.0), ('bebas', -4.0), ('benar', -4.0), ('jessica', 0), ('benah', 0), ('kualitas', 4.0), ('hukum', -3.0), ('indonesia', 0)]",netral
edi solihin ngekei sangu jakarta bogor men koe sogok blok edisi edi solihin usut tuntas sih edi solihin sogok p rezza utek cuongok koe edisi edi solihin onok koe sogok p rezza edisi koe ketok lek manusia ruwet pool,-11.0,"[('edi', 0), ('solihin', 0), ('ngekei', 0), ('sangu', 0), ('jakarta', 0), ('bogor', 0), ('men', 0), ('koe', 0), ('sogok', -4.0), ('blok', 0), ('edisi', 0), ('edi', 0), ('solihin', 0), ('usut', 0), ('tuntas', 2.0), ('sih', 0), ('edi', 0), ('solihin', 0), ('sogok', -4.0), ('p', 0), ('rezza', 0), ('utek', 0), ('cuongok', 0), ('koe', 0), ('edisi', 0), ('edi', 0), ('solihin', 0), ('onok', 0), ('koe', 0), ('sogok', -4.0), ('p', 0), ('rezza', 0), ('edisi', 0), ('koe', 0), ('ketok', 0), ('lek', 0), ('manusia', 3.0), ('ruwet', -4.0), ('pool', 0)]",negatif
roi panci ruwet pool,-4.0,"[('roi', 0), ('panci', 0), ('ruwet', -4.0), ('pool', 0)]",negatif
panci ta mas surya,-3.0,"[('panci', 0), ('ta', -3.0), ('mas', 0), ('surya', 0)]",negatif
roy suryo tonton moral,0.0,"[('roy', 0), ('suryo', 0), ('tonton', -4.0), ('moral', 4.0)]",netral
kenapa surya panci lihat jijik,-2.0,"[('kenapa', 0), ('surya', 0), ('panci', 0), ('lihat', 3.0), ('jijik', -5.0)]",negatif
curiga bokapnya asuransi buka,-7.0,"[('curiga', -4.0), ('bokapnya', 0), ('asuransi', 0), ('buka', -3.0)]",negatif
kuasa konoha hakim mafia lihat adil negeri bobrok lihat papua usaha untung sangka usaha elite konglomerat penjara urus negara minum kopi rakyat boneka,-18.0,"[('kuasa', 3.0), ('konoha', 0), ('hakim', 0), ('mafia', -5.0), ('lihat', 3.0), ('adil', -3.0), ('negeri', 0), ('bobrok', -5.0), ('lihat', 3.0), ('papua', 0), ('usaha', -4.0), ('untung', -1.0), ('sangka', -3.0), ('usaha', -4.0), ('elite', 5.0), ('konglomerat', 0), ('penjara', -4.0), ('urus', 0), ('negara', 0), ('minum', -3.0), ('kopi', 0), ('rakyat', 0), ('boneka', 0)]",negatif
cerita dongeng belit belit,-11.0,"[('cerita', -4.0), ('dongeng', -1.0), ('belit', -3.0), ('belit', -3.0)]",negatif
jalan perkara jessica ikut makaya varu,-7.0,"[('jalan', 0), ('perkara', -4.0), ('jessica', 0), ('ikut', -3.0), ('makaya', 0), ('varu', 0)]",negatif
roy suryo asyik nih,0.0,"[('roy', 0), ('suryo', 0), ('asyik', 0), ('nih', 0)]",netral
maju,0.0,"[('maju', 0)]",netral
fitnah angap hebat orang,-5.0,"[('fitnah', -5.0), ('angap', 0), ('hebat', 0), ('orang', 0)]",negatif
ah malas tukik,-4.0,"[('ah', 0), ('malas', -4.0), ('tukik', 0)]",negatif
negara duga sengaja rekayasa atl kopi sianida jessica ansari azhar ketua komisi berantas korupsi cicak setia novel baswedan siksa tembak laskar front bela islam,-12.0,"[('negara', 0), ('duga', -1.0), ('sengaja', -2.0), ('rekayasa', 0), ('atl', 0), ('kopi', 0), ('sianida', 0), ('jessica', 0), ('ansari', 0), ('azhar', 0), ('ketua', 0), ('komisi', 3.0), ('berantas', 0), ('korupsi', -4.0), ('cicak', 0), ('setia', -4.0), ('novel', 2.0), ('baswedan', 0), ('siksa', -5.0), ('tembak', -5.0), ('laskar', 0), ('front', 0), ('bela', 0), ('islam', 4.0)]",negatif
tunjuk indonesia negara ber adil ber perikemanusiaan lambang,-6.0,"[('tunjuk', 0), ('indonesia', 0), ('negara', 0), ('ber', 0), ('adil', -3.0), ('ber', 0), ('perikemanusiaan', 0), ('lambang', -3.0)]",negatif
harap kasus buka tonton drama dasar drama hukum orang salah,-25.0,"[('harap', -3.0), ('kasus', 0), ('buka', -3.0), ('tonton', -4.0), ('drama', -4.0), ('dasar', 0), ('drama', -4.0), ('hukum', -3.0), ('orang', 0), ('salah', -4.0)]",negatif
terang dokter racun sianida,-3.0,"[('terang', -3.0), ('dokter', 0), ('racun', 0), ('sianida', 0)]",negatif
polisi jujur percaya zaman polisi percaya lengkap bukti bukti tangan polisi,-5.0,"[('polisi', 0), ('jujur', -1.0), ('percaya', 2.0), ('zaman', 0), ('polisi', 0), ('percaya', 2.0), ('lengkap', -3.0), ('bukti', -3.0), ('bukti', -3.0), ('tangan', 1.0), ('polisi', 0)]",negatif
membinggukan masa tangan tunjuk situ rekayasa sisi televisi palsu,1.0,"[('membinggukan', 0), ('masa', 0), ('tangan', 1.0), ('tunjuk', 0), ('situ', 0), ('rekayasa', 0), ('sisi', 0), ('televisi', 0), ('palsu', 0)]",positif
coba lihat situ jessica gaduk kopi,2.0,"[('coba', -1.0), ('lihat', 3.0), ('situ', 0), ('jessica', 0), ('gaduk', 0), ('kopi', 0)]",positif
masa tanggan lihat itu disitudi kafe kafe main,-9.0,"[('masa', 0), ('tanggan', 0), ('lihat', 3.0), ('itu', -2.0), ('disitudi', 0), ('kafe', -4.0), ('kafe', -4.0), ('main', -2.0)]",negatif
sadar manusia menanggani kopi sihadidah harap ungkap masik manyak manusia serigala menanggani,-1.0,"[('sadar', -1.0), ('manusia', 3.0), ('menanggani', 0), ('kopi', 0), ('sihadidah', 0), ('harap', -3.0), ('ungkap', -3.0), ('masik', 0), ('manyak', 0), ('manusia', 3.0), ('serigala', 0), ('menanggani', 0)]",negatif
sidik polisi periksa jessica jaksa sumpah adat jujur kena sumpah adat rekayasa jessica hukum adat mati dadak istri anak anak alami,-29.0,"[('sidik', 0), ('polisi', 0), ('periksa', -5.0), ('jessica', 0), ('jaksa', 0), ('sumpah', -3.0), ('adat', 0), ('jujur', -1.0), ('kena', -3.0), ('sumpah', -3.0), ('adat', 0), ('rekayasa', 0), ('jessica', 0), ('hukum', -3.0), ('adat', 0), ('mati', -5.0), ('dadak', 3.0), ('istri', 0), ('anak', -3.0), ('anak', -3.0), ('alami', -3.0)]",negatif
rakyat harap cepat kuak orang,-6.0,"[('rakyat', 0), ('harap', -3.0), ('cepat', -3.0), ('kuak', 0), ('orang', 0)]",negatif
polisi terang jessica krisna mukti ferdi sambo,-3.0,"[('polisi', 0), ('terang', -3.0), ('jessica', 0), ('krisna', 0), ('mukti', 0), ('ferdi', 0), ('sambo', 0)]",negatif
bilang jessica salah bilang adil benar hukum indonesia depan,-14.0,"[('bilang', 0), ('jessica', 0), ('salah', -4.0), ('bilang', 0), ('adil', -3.0), ('benar', -4.0), ('hukum', -3.0), ('indonesia', 0), ('depan', 0)]",negatif
hardisk asli dvr cctv tampil flashdisk asli edit buang gambar tampil tambah gambar edit janggal orang salin hasil rekam,-15.0,"[('hardisk', 0), ('asli', 2.0), ('dvr', 0), ('cctv', 0), ('tampil', -3.0), ('flashdisk', 0), ('asli', 2.0), ('edit', 0), ('buang', -3.0), ('gambar', -3.0), ('tampil', -3.0), ('tambah', 3.0), ('gambar', -3.0), ('edit', 0), ('janggal', -4.0), ('orang', 0), ('salin', -3.0), ('hasil', 3.0), ('rekam', -3.0)]",negatif
hukum indonesia bidik laku kriminal mafia hukum begal hukum indonesia tmbuh kembang akar akibatnx ber adil moga jessica sehat bebaskn cepat,-27.0,"[('hukum', -3.0), ('indonesia', 0), ('bidik', -2.0), ('laku', 0), ('kriminal', 0), ('mafia', -5.0), ('hukum', -3.0), ('begal', -5.0), ('hukum', -3.0), ('indonesia', 0), ('tmbuh', 0), ('kembang', 3.0), ('akar', -3.0), ('akibatnx', 0), ('ber', 0), ('adil', -3.0), ('moga', 1.0), ('jessica', 0), ('sehat', -1.0), ('bebaskn', 0), ('cepat', -3.0)]",negatif
awam ilmu hukum ilmu dokter mati mirna duga racun sianida terang ahli utama terang ahli forensik ahli kimia racun sianida terang ahli telematika digital forensik terang ahli hukum jessica bunuh mirna senjata tajam senjata api baru bukti cctv utama polisi jaksa hakim gaji negara kerja dangkal,-30.0,"[('awam', 0), ('ilmu', 4.0), ('hukum', -3.0), ('ilmu', 4.0), ('dokter', 0), ('mati', -5.0), ('mirna', 0), ('duga', -1.0), ('racun', 0), ('sianida', 0), ('terang', -3.0), ('ahli', 0), ('utama', 0), ('terang', -3.0), ('ahli', 0), ('forensik', 0), ('ahli', 0), ('kimia', 0), ('racun', 0), ('sianida', 0), ('terang', -3.0), ('ahli', 0), ('telematika', 0), ('digital', 0), ('forensik', 0), ('terang', -3.0), ('ahli', 0), ('hukum', -3.0), ('jessica', 0), ('bunuh', -5.0), ('mirna', 0), ('senjata', 0), ('tajam', -2.0), ('senjata', 0), ('api', -2.0), ('baru', 0), ('bukti', -3.0), ('cctv', 0), ('utama', 0), ('polisi', 0), ('jaksa', 0), ('hakim', 0), ('gaji', 0), ('negara', 0), ('kerja', 2.0), ('dangkal', -4.0)]",negatif
ayah mirna laku lihat cctv palsu,3.0,"[('ayah', 0), ('mirna', 0), ('laku', 0), ('lihat', 3.0), ('cctv', 0), ('palsu', 0)]",positif
roy suryo adu mampu ilmu bang resmon roy takut ahli jaksa polisi takut polisi,-11.0,"[('roy', 0), ('suryo', 0), ('adu', -3.0), ('mampu', -4.0), ('ilmu', 4.0), ('bang', 0), ('resmon', 0), ('roy', 0), ('takut', -4.0), ('ahli', 0), ('jaksa', 0), ('polisi', 0), ('takut', -4.0), ('polisi', 0)]",negatif
bebas jessica wongso,-4.0,"[('bebas', -4.0), ('jessica', 0), ('wongso', 0)]",negatif
polisi lempar batu jasa,2.0,"[('polisi', 0), ('lempar', 0), ('batu', -2.0), ('jasa', 4.0)]",positif
buat alat tambah manusia tolak betul komputer digitalisasi teknologi,-1.0,"[('buat', 1.0), ('alat', 0), ('tambah', 3.0), ('manusia', 3.0), ('tolak', -4.0), ('betul', -4.0), ('komputer', 0), ('digitalisasi', 0), ('teknologi', 0)]",negatif
moga harap utama tuhan amin iya robbal alamiinn jessica salah bebas,-10.0,"[('moga', 1.0), ('harap', -3.0), ('utama', 0), ('tuhan', 3.0), ('amin', -3.0), ('iya', 0), ('robbal', 0), ('alamiinn', 0), ('jessica', 0), ('salah', -4.0), ('bebas', -4.0)]",negatif
acara kenal hotman paris acara otto h ahli visum djaja masyarakat indonesia dapat jessica salah bantu jessica salah satu harap doa tuhan maha esa moga laku sungguh kroni bongkar orang level tengah atur salah benar rakyat jelata iblis bulu manusia kejam baperin jessica triliun lewat deh tebak lanjut hehe dikonoha uang lawan orang jujur menang uang,-62.0,"[('acara', 0), ('kenal', -2.0), ('hotman', 0), ('paris', 0), ('acara', 0), ('otto', 0), ('h', 0), ('ahli', 0), ('visum', 0), ('djaja', 0), ('masyarakat', 0), ('indonesia', 0), ('dapat', -2.0), ('jessica', 0), ('salah', -4.0), ('bantu', -4.0), ('jessica', 0), ('salah', -4.0), ('satu', -1.0), ('harap', -3.0), ('doa', -4.0), ('tuhan', 3.0), ('maha', 4.0), ('esa', 3.0), ('moga', 1.0), ('laku', 0), ('sungguh', -1.0), ('kroni', -3.0), ('bongkar', -3.0), ('orang', 0), ('level', 0), ('tengah', 2.0), ('atur', -4.0), ('salah', -4.0), ('benar', -4.0), ('rakyat', 0), ('jelata', -5.0), ('iblis', -4.0), ('bulu', 0), ('manusia', 3.0), ('kejam', -4.0), ('baperin', 0), ('jessica', 0), ('triliun', 0), ('lewat', -5.0), ('deh', 0), ('tebak', -2.0), ('lanjut', -5.0), ('hehe', 0), ('dikonoha', 0), ('uang', 0), ('lawan', -4.0), ('orang', 0), ('jujur', -1.0), ('menang', -5.0), ('uang', 0)]",negatif
roy biang kerok jessica orang racung orang hadap uang jessica nama sianida roy profesor edi udang kepiting beegitu kenl api sa merah putar bale perlente roy,-8.0,"[('roy', 0), ('biang', 0), ('kerok', -3.0), ('jessica', 0), ('orang', 0), ('racung', 0), ('orang', 0), ('hadap', 0), ('uang', 0), ('jessica', 0), ('nama', 0), ('sianida', 0), ('roy', 0), ('profesor', 0), ('edi', 0), ('udang', 0), ('kepiting', 0), ('beegitu', 0), ('kenl', 0), ('api', -2.0), ('sa', 0), ('merah', -3.0), ('putar', 0), ('bale', 0), ('perlente', 0), ('roy', 0)]",negatif
roy ganti jessica giring ahli percaya bicara mu ei roy dsuda sala tingka bayar,-4.0,"[('roy', 0), ('ganti', -3.0), ('jessica', 0), ('giring', 0), ('ahli', 0), ('percaya', 2.0), ('bicara', 0), ('mu', 0), ('ei', 0), ('roy', 0), ('dsuda', 0), ('sala', 0), ('tingka', 0), ('bayar', -3.0)]",negatif
roi takut bang rismon muberbohong hai roy masuk penjara mana awas ketemu rismon roy henti stopstop bohong,-19.0,"[('roi', 0), ('takut', -4.0), ('bang', 0), ('rismon', 0), ('muberbohong', 0), ('hai', 3.0), ('roy', 0), ('masuk', -3.0), ('penjara', -4.0), ('mana', 0), ('awas', -3.0), ('ketemu', 1.0), ('rismon', 0), ('roy', 0), ('henti', -4.0), ('stopstop', 0), ('bohong', -5.0)]",negatif
krisna murti undang iya biar,-1.0,"[('krisna', 0), ('murti', 0), ('undang', 2.0), ('iya', 0), ('biar', -3.0)]",negatif
iya adil tegak,-3.0,"[('iya', 0), ('adil', -3.0), ('tegak', 0)]",negatif
butuh reaksi racun tubuh tinggal jessica rekan duduk meja hidang,-17.0,"[('butuh', -5.0), ('reaksi', -5.0), ('racun', 0), ('tubuh', -4.0), ('tinggal', -3.0), ('jessica', 0), ('rekan', -2.0), ('duduk', 0), ('meja', 0), ('hidang', 2.0)]",negatif
masyarakat jessica ungkap adil hukum,-9.0,"[('masyarakat', 0), ('jessica', 0), ('ungkap', -3.0), ('adil', -3.0), ('hukum', -3.0)]",negatif
lanjur jatuh benar ungkap tunggu karma we love cici jess,-18.0,"[('lanjur', -3.0), ('jatuh', -3.0), ('benar', -4.0), ('ungkap', -3.0), ('tunggu', -2.0), ('karma', 0), ('we', 0), ('love', -3.0), ('cici', 0), ('jess', 0)]",negatif
kompolnas hukum sidang sat autopsi kompolnas autopsi,-6.0,"[('kompolnas', 0), ('hukum', -3.0), ('sidang', -3.0), ('sat', 0), ('autopsi', 0), ('kompolnas', 0), ('autopsi', 0)]",negatif
gambar tampil gambar zoom buram banding tangan zoom,-14.0,"[('gambar', -3.0), ('tampil', -3.0), ('gambar', -3.0), ('zoom', 0), ('buram', -3.0), ('banding', -3.0), ('tangan', 1.0), ('zoom', 0)]",negatif
grasi amesti adil beleh men vonis dakwa bunuh sianida bukti mati sah menyakinkan autopsi ahli toksikologi forensik mati sianida,-18.0,"[('grasi', 0), ('amesti', 0), ('adil', -3.0), ('beleh', 0), ('men', 0), ('vonis', 0), ('dakwa', 3.0), ('bunuh', -5.0), ('sianida', 0), ('bukti', -3.0), ('mati', -5.0), ('sah', 0), ('menyakinkan', 0), ('autopsi', 0), ('ahli', 0), ('toksikologi', 0), ('forensik', 0), ('mati', -5.0), ('sianida', 0)]",negatif
edie dapat,-2.0,"[('edie', 0), ('dapat', -2.0)]",negatif
rumah sakit zoom turun resolusi crop,-2.0,"[('rumah', 3.0), ('sakit', -5.0), ('zoom', 0), ('turun', -3.0), ('resolusi', 3.0), ('crop', 0)]",negatif
bawa acara bijak rangkai jaga asa warganet kritis jessica,-21.0,"[('bawa', -3.0), ('acara', 0), ('bijak', -4.0), ('rangkai', -4.0), ('jaga', -3.0), ('asa', -2.0), ('warganet', 0), ('kritis', -5.0), ('jessica', 0)]",negatif
roy suryo pakar abal amat salah beda kompetensi ayah bang rismon,0.0,"[('roy', 0), ('suryo', 0), ('pakar', -1.0), ('abal', 0), ('amat', 4.0), ('salah', -4.0), ('beda', -2.0), ('kompetensi', 3.0), ('ayah', 0), ('bang', 0), ('rismon', 0)]",netral
jessica hukum cctv orang tangan kosong,-6.0,"[('jessica', 0), ('hukum', -3.0), ('cctv', 0), ('orang', 0), ('tangan', 1.0), ('kosong', -4.0)]",negatif
kosong tangan pegang,-5.0,"[('kosong', -4.0), ('tangan', 1.0), ('pegang', -2.0)]",negatif
assalamualaikum mohon presiden jokowi bebas jessica laku,0.0,"[('assalamualaikum', 3.0), ('mohon', -2.0), ('presiden', 3.0), ('jokowi', 0), ('bebas', -4.0), ('jessica', 0), ('laku', 0)]",netral
jessica laku bebas debat suara suara,-3.0,"[('jessica', 0), ('laku', 0), ('bebas', -4.0), ('debat', 3.0), ('suara', -1.0), ('suara', -1.0)]",negatif
harga hakim,3.0,"[('harga', 3.0), ('hakim', 0)]",positif
bayak korupsi takut buka badan mirna sianida salah hukum,-21.0,"[('bayak', 0), ('korupsi', -4.0), ('takut', -4.0), ('buka', -3.0), ('badan', -3.0), ('mirna', 0), ('sianida', 0), ('salah', -4.0), ('hukum', -3.0)]",negatif
enak roi panci saksi ahli,-3.0,"[('enak', -4.0), ('roi', 0), ('panci', 0), ('saksi', 1.0), ('ahli', 0)]",negatif
astaga reza masuk uang tas kait iya,-6.0,"[('astaga', -4.0), ('reza', 0), ('masuk', -3.0), ('uang', 0), ('tas', 0), ('kait', 1.0), ('iya', 0)]",negatif
roy suryo dedi hasibuan bukti terlau percaya cvtv rekayasa dvar kosong manipulasi,-5.0,"[('roy', 0), ('suryo', 0), ('dedi', 0), ('hasibuan', 0), ('bukti', -3.0), ('terlau', 0), ('percaya', 2.0), ('cvtv', 0), ('rekayasa', 0), ('dvar', 0), ('kosong', -4.0), ('manipulasi', 0)]",negatif
gratifikasi bebas presiden jessica iskandar mengakuii salah berat jessica iskandar akut salah laku dekam penjara,-16.0,"[('gratifikasi', 2.0), ('bebas', -4.0), ('presiden', 3.0), ('jessica', 0), ('iskandar', 0), ('mengakuii', 0), ('salah', -4.0), ('berat', 0), ('jessica', 0), ('iskandar', 0), ('akut', -5.0), ('salah', -4.0), ('laku', 0), ('dekam', 0), ('penjara', -4.0)]",negatif
nih roi,0.0,"[('nih', 0), ('roi', 0)]",netral
malas dengar roy suryo televisi one narasumber capable,-2.0,"[('malas', -4.0), ('dengar', 2.0), ('roy', 0), ('suryo', 0), ('televisi', 0), ('one', 0), ('narasumber', 0), ('capable', 0)]",negatif
roy suryo bicara cerocos karuan omong nilai,1.0,"[('roy', 0), ('suryo', 0), ('bicara', 0), ('cerocos', 0), ('karuan', 0), ('omong', -4.0), ('nilai', 5.0)]",positif
bukti rekayasa cctv bongkar kupas ilmiah manusia ahli diam roy suryo ahli ilmu tahu terimah tantang rismon sih debat ilmiah media rekayasa manipulasi bukti adil berani rendah tertawa orang ahli bidang ilmu nyata konyol meyesatkan masyarakat mulut roy,-15.0,"[('bukti', -3.0), ('rekayasa', 0), ('cctv', 0), ('bongkar', -3.0), ('kupas', 0), ('ilmiah', 0), ('manusia', 3.0), ('ahli', 0), ('diam', -3.0), ('roy', 0), ('suryo', 0), ('ahli', 0), ('ilmu', 4.0), ('tahu', -4.0), ('terimah', 0), ('tantang', -4.0), ('rismon', 0), ('sih', 0), ('debat', 3.0), ('ilmiah', 0), ('media', 0), ('rekayasa', 0), ('manipulasi', 0), ('bukti', -3.0), ('adil', -3.0), ('berani', 0), ('rendah', -5.0), ('tertawa', 5.0), ('orang', 0), ('ahli', 0), ('bidang', 0), ('ilmu', 4.0), ('nyata', -2.0), ('konyol', -3.0), ('meyesatkan', 0), ('masyarakat', 0), ('mulut', -1.0), ('roy', 0)]",negatif
